client_1,client_2,from_edge,to_edge,distance
A,B,102,157,7293.0
A,B,102,135,943.0
A,B,102,165,7017.0
A,B,100,157,8894.0
A,B,100,135,2544.0
A,B,100,165,8618.0
A,B,85,157,9244.0
A,B,85,135,2894.0
A,B,85,165,8968.0
A,C,102,110,5070.0
A,C,102,119,3267.0
A,C,102,91,3432.0
A,C,100,110,6671.0
A,C,100,119,4868.0
A,C,100,91,5033.0
A,C,85,110,7021.0
A,C,85,119,5218.0
A,C,85,91,5383.0
A,D,102,38,6319.0
A,D,102,96,2699.0
A,D,102,69,4832.0
A,D,100,38,7920.0
A,D,100,96,4300.0
A,D,100,69,6433.0
A,D,85,38,8270.0
A,D,85,96,4650.0
A,D,85,69,6783.0
A,E,102,59,8835.0
A,E,102,11,9156.0
A,E,102,19,10533.0
A,E,100,59,10436.0
A,E,100,11,10757.0
A,E,100,19,12134.0
A,E,85,59,10786.0
A,E,85,11,11107.0
A,E,85,19,12484.0
B,C,157,110,8597.0
B,C,157,119,6642.0
B,C,157,91,8065.0
B,C,135,110,3079.0
B,C,135,119,1124.0
B,C,135,91,2547.0
B,C,165,110,8321.0
B,C,165,119,6366.0
B,C,165,91,7789.0
B,D,157,38,11078.0
B,D,157,96,8976.0
B,D,157,69,9556.0
B,D,135,38,5560.0
B,D,135,96,2626.0
B,D,135,69,4038.0
B,D,165,38,10802.0
B,D,165,96,8700.0
B,D,165,69,9280.0
B,E,157,59,13559.0
B,E,157,11,13880.0
B,E,157,19,15257.0
B,E,135,59,8041.0
B,E,135,11,8362.0
B,E,135,19,9739.0
B,E,165,59,13283.0
B,E,165,11,13604.0
B,E,165,19,14981.0
C,D,110,38,5607.0
C,D,110,96,3921.0
C,D,110,69,4085.0
C,D,119,38,4044.0
C,D,119,96,2358.0
C,D,119,69,2522.0
C,D,91,38,3969.0
C,D,91,96,2283.0
C,D,91,69,2447.0
C,E,110,59,8088.0
C,E,110,11,8409.0
C,E,110,19,9786.0
C,E,119,59,6525.0
C,E,119,11,6846.0
C,E,119,19,8223.0
C,E,91,59,6450.0
C,E,91,11,6771.0
C,E,91,19,8148.0
D,E,38,59,4072.0
D,E,38,11,2077.0
D,E,38,19,4542.0
D,E,96,59,5454.0
D,E,96,11,5775.0
D,E,96,19,7152.0
D,E,69,59,3422.0
D,E,69,11,3743.0
D,E,69,19,5120.0
