client_1,client_2,from_node,to_node,distance
A,B,64,79,2900.0
A,B,64,86,5687.0
A,B,75,79,4545.0
A,B,75,86,7332.0
A,C,64,74,3267.0
A,C,64,58,2954.0
A,C,75,74,4912.0
A,C,75,58,4599.0
A,D,64,31,4280.0
A,D,64,26,6319.0
A,D,75,31,5925.0
A,D,75,26,7964.0
A,E,64,41,7018.0
A,E,64,12,10533.0
A,E,75,41,8663.0
A,E,75,12,12178.0
B,C,79,74,2249.0
B,C,79,58,3194.0
B,C,86,74,5036.0
B,C,86,58,5981.0
B,D,79,31,4646.0
B,D,79,26,6685.0
B,D,86,31,7433.0
B,D,86,26,9472.0
B,E,79,41,7349.0
B,E,79,12,10864.0
B,E,86,41,10136.0
B,E,86,12,13651.0
C,D,74,31,2397.0
C,D,74,26,4436.0
C,D,58,31,1452.0
C,D,58,26,3491.0
C,E,74,41,5100.0
C,E,74,12,8615.0
C,E,58,41,4155.0
C,E,58,12,7670.0
D,E,31,41,2738.0
D,E,31,12,6253.0
D,E,26,41,3701.0
D,E,26,12,4803.0
