client_1,client_2,from_edge,to_edge,distance
A,B,102,157,10
A,B,102,135,2
A,B,102,165,7
A,B,100,157,12
A,B,100,135,4
A,B,100,165,9
A,B,85,157,13
A,B,85,135,5
A,B,85,165,10
A,C,102,110,7
A,C,102,119,4
A,C,102,91,4
A,C,100,110,9
A,C,100,119,6
A,C,100,91,6
A,C,85,110,10
A,C,85,119,7
A,C,85,91,7
A,D,102,38,8
A,D,102,96,3
A,D,102,69,6
A,D,100,38,10
A,D,100,96,5
A,D,100,69,8
A,D,85,38,11
A,D,85,96,6
A,D,85,69,9
A,E,102,59,12
A,E,102,11,12
A,E,102,19,14
A,E,100,59,14
A,E,100,11,14
A,E,100,19,16
A,E,85,59,15
A,E,85,11,15
A,E,85,19,17
B,C,157,110,12
B,C,157,119,8
B,C,157,91,11
B,C,135,110,5
B,C,135,119,1
B,C,135,91,4
B,C,165,110,9
B,C,165,119,5
B,C,165,91,8
B,D,157,38,15
B,D,157,96,11
B,D,157,69,13
B,D,135,38,8
B,D,135,96,3
B,D,135,69,6
B,D,165,38,12
B,D,165,96,8
B,D,165,69,10
B,E,157,59,19
B,E,157,11,19
B,E,157,19,21
B,E,135,59,12
B,E,135,11,12
B,E,135,19,14
B,E,165,59,16
B,E,165,11,16
B,E,165,19,18
C,D,110,38,9
C,D,110,96,6
C,D,110,69,7
C,D,119,38,6
C,D,119,96,3
C,D,119,69,4
C,D,91,38,6
C,D,91,96,3
C,D,91,69,4
C,E,110,59,13
C,E,110,11,13
C,E,110,19,15
C,E,119,59,10
C,E,119,11,10
C,E,119,19,12
C,E,91,59,10
C,E,91,11,10
C,E,91,19,12
D,E,38,59,6
D,E,38,11,3
D,E,38,19,5
D,E,96,59,8
D,E,96,11,8
D,E,96,19,10
D,E,69,59,5
D,E,69,11,5
D,E,69,19,7
